,offer_01,offer_02,offer_03,offer_04,offer_05,offer_06,offer_07,offer_08,offer_09,bids_01,bids_02,bids_03,bids_04,bids_05,bids_06,bids_07,bids_08,bids_09,Time,Iteration
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009522,0.018362,0.000999,0.018531,0.011088,0.015219,0.005476,0.016185,0.01282,31,44
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021652,0.023931,0.018311,0.023372,0.022771,0.024321,0.020383,0.022979,0.016426,32,44
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792,0.001719,0.004819,0.00143,0.002137,0.003506,0.002033,0.002056,0.00402,33,44
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005574,0.005461,0.01049,0.007332,0.003766,0.003835,0.008021,0.006059,0.011531,34,44
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209,0.001984,0.001657,0.002729,0.002505,0.002273,0.001911,0.002643,0.001729,35,44
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647,0.001581,0.001634,0.001485,0.001705,0.001575,0.001415,0.001682,0.001614,36,44
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473,0.001457,0.00165,0.00146,0.001719,0.001695,0.001359,0.001545,0.001592,37,44
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0015,0.002402,0.001468,0.001566,0.001555,0.001508,0.001526,0.002285,38,44
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001633,0.001558,0.001695,0.001437,0.001438,0.001468,0.001374,0.001477,0.001388,39,44
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001884,0.001282,0.00207,0.000494,0.001504,0.000679,0.001188,0.000542,0.000678,16,45
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008675,0.008608,0.006859,0.009835,0.003637,0.007996,0.007021,0.007939,0.007767,17,45
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008172,0.000869,0.000956,0.00418,0.00893,0.000442,0.00998,0.013659,0.011566,18,45
3,0.001116,0.001707,0.00046,0.004204,0.003026,0.003429,0.0046,0.010003,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,45
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014825,0.000408,0.006536,0.016357,0.004775,0.031397,0.011576,0.001137,0.010774,20,45
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014114,0.029118,0.025546,0.032863,0.032944,0.021797,0.009391,0.034911,0.02677,21,45
6,0.0,0.0,0.006602,0.0,0.0,0.001438,0.0,0.0,0.0,0.002152,0.019546,0.0,0.001,0.012183,0.0,0.01984,0.015955,0.002892,22,45
7,0.001614,0.010786,0.005546,0.0,0.003152,0.004253,0.009567,0.021401,0.013054,0.0,0.0,0.0,0.002336,0.0,0.0,0.0,0.0,0.0,23,45
8,0.004795,0.0,0.0,0.0,0.006176,0.0,0.0,0.0,0.0,0.0,0.009342,0.017845,0.000525,0.0,0.002451,0.007802,0.028622,0.01473,24,45
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015572,0.032032,0.028048,0.012394,0.014023,0.012675,0.015253,0.019591,0.020678,25,45
10,0.004435,0.001435,0.003845,0.0,0.005071,0.004981,0.010631,0.005834,0.002338,0.0,0.0,0.0,6.4e-05,0.0,0.0,0.0,0.0,0.0,26,45
11,0.0,9.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000479,0.01817,0.0,0.014595,0.0,0.012606,0.020936,0.019117,0.003004,0.0,27,45
12,0.001689,0.001148,0.000581,0.0,0.000952,0.001454,0.000717,0.002395,0.002028,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.0,0.0,28,45
13,0.001066,0.004852,0.001475,0.0,0.00127,0.001628,0.0,0.002684,0.001679,0.0,0.0,0.0,0.000936,0.0,0.0,0.000176,0.0,0.0,29,45
14,0.000835,0.000931,0.0,0.0,0.000915,0.000874,0.0,0.001502,0.001565,0.0,0.0,0.001349,0.000279,0.0,0.0,0.000548,0.0,0.0,30,45
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009522,0.018362,0.000999,0.018531,0.011088,0.015219,0.005476,0.016185,0.01282,31,45
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021652,0.023931,0.018311,0.023372,0.022771,0.024321,0.020383,0.022979,0.016426,32,45
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792,0.001719,0.004819,0.00143,0.002137,0.003506,0.002033,0.002056,0.00402,33,45
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005574,0.005461,0.01049,0.007332,0.003766,0.003835,0.008021,0.006059,0.011531,34,45
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209,0.001984,0.001657,0.002729,0.002505,0.002273,0.001911,0.002643,0.001729,35,45
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647,0.001581,0.001634,0.001485,0.001705,0.001575,0.001415,0.001682,0.001614,36,45
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473,0.001457,0.00165,0.00146,0.001719,0.001695,0.001359,0.001545,0.001592,37,45
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0015,0.002402,0.001468,0.001566,0.001555,0.001508,0.001526,0.002285,38,45
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001633,0.001558,0.001695,0.001437,0.001438,0.001468,0.001374,0.001477,0.001388,39,45
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001884,0.001282,0.00207,0.000494,0.001504,0.000679,0.001188,0.000542,0.000678,16,46
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008675,0.008608,0.006859,0.009835,0.003637,0.007996,0.007021,0.007939,0.007767,17,46
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008172,0.000869,0.000956,0.00418,0.00893,0.000442,0.00998,0.013659,0.011566,18,46
3,0.001116,0.001707,0.00046,0.004204,0.003026,0.003429,0.0046,0.010003,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,46
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014825,0.000408,0.006536,0.016357,0.004775,0.031397,0.011576,0.001137,0.010774,20,46
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014114,0.029118,0.025546,0.032863,0.032944,0.021797,0.009391,0.034911,0.02677,21,46
6,0.0,0.0,0.006602,0.0,0.0,0.001438,0.0,0.0,0.0,0.002152,0.019546,0.0,0.001,0.012183,0.0,0.01984,0.015955,0.002892,22,46
7,0.001614,0.010786,0.005546,0.0,0.003152,0.004253,0.009567,0.021401,0.013054,0.0,0.0,0.0,0.002336,0.0,0.0,0.0,0.0,0.0,23,46
8,0.004795,0.0,0.0,0.0,0.006176,0.0,0.0,0.0,0.0,0.0,0.009342,0.017845,0.000525,0.0,0.002451,0.007802,0.028622,0.01473,24,46
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015572,0.032032,0.028048,0.012394,0.014023,0.012675,0.015253,0.019591,0.020678,25,46
10,0.004435,0.001435,0.003845,0.0,0.005071,0.004981,0.010631,0.005834,0.002338,0.0,0.0,0.0,6.4e-05,0.0,0.0,0.0,0.0,0.0,26,46
11,0.0,9.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000479,0.01817,0.0,0.014595,0.0,0.012606,0.020936,0.019117,0.003004,0.0,27,46
12,0.001689,0.001148,0.000581,0.0,0.000952,0.001454,0.000717,0.002395,0.002028,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.0,0.0,28,46
13,0.001066,0.004852,0.001475,0.0,0.00127,0.001628,0.0,0.002684,0.001679,0.0,0.0,0.0,0.000936,0.0,0.0,0.000176,0.0,0.0,29,46
14,0.000835,0.000931,0.0,0.0,0.000915,0.000874,0.0,0.001502,0.001565,0.0,0.0,0.001349,0.000279,0.0,0.0,0.000548,0.0,0.0,30,46
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009522,0.018362,0.000999,0.018531,0.011088,0.015219,0.005476,0.016185,0.01282,31,46
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021652,0.023931,0.018311,0.023372,0.022771,0.024321,0.020383,0.022979,0.016426,32,46
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792,0.001719,0.004819,0.00143,0.002137,0.003506,0.002033,0.002056,0.00402,33,46
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005574,0.005461,0.01049,0.007332,0.003766,0.003835,0.008021,0.006059,0.011531,34,46
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209,0.001984,0.001657,0.002729,0.002505,0.002273,0.001911,0.002643,0.001729,35,46
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647,0.001581,0.001634,0.001485,0.001705,0.001575,0.001415,0.001682,0.001614,36,46
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473,0.001457,0.00165,0.00146,0.001719,0.001695,0.001359,0.001545,0.001592,37,46
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0015,0.002402,0.001468,0.001566,0.001555,0.001508,0.001526,0.002285,38,46
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001633,0.001558,0.001695,0.001437,0.001438,0.001468,0.001374,0.001477,0.001388,39,46
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001884,0.001282,0.00207,0.000494,0.001504,0.000679,0.001188,0.000542,0.000678,16,47
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008675,0.008608,0.006859,0.009835,0.003637,0.007996,0.007021,0.007939,0.007767,17,47
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008172,0.000869,0.000956,0.00418,0.00893,0.000442,0.00998,0.013659,0.011566,18,47
3,0.001116,0.001707,0.00046,0.004204,0.003026,0.003429,0.0046,0.010003,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,47
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014825,0.000408,0.006536,0.016357,0.004775,0.031397,0.011576,0.001137,0.010774,20,47
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014114,0.029118,0.025546,0.032863,0.032944,0.021797,0.009391,0.034911,0.02677,21,47
6,0.0,0.0,0.006602,0.0,0.0,0.001438,0.0,0.0,0.0,0.002152,0.019546,0.0,0.001,0.012183,0.0,0.01984,0.015955,0.002892,22,47
7,0.001614,0.010786,0.005546,0.0,0.003152,0.004253,0.009567,0.021401,0.013054,0.0,0.0,0.0,0.002336,0.0,0.0,0.0,0.0,0.0,23,47
8,0.004795,0.0,0.0,0.0,0.006176,0.0,0.0,0.0,0.0,0.0,0.009342,0.017845,0.000525,0.0,0.002451,0.007802,0.028622,0.01473,24,47
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015572,0.032032,0.028048,0.012394,0.014023,0.012675,0.015253,0.019591,0.020678,25,47
10,0.004435,0.001435,0.003845,0.0,0.005071,0.004981,0.010631,0.005834,0.002338,0.0,0.0,0.0,6.4e-05,0.0,0.0,0.0,0.0,0.0,26,47
11,0.0,9.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000479,0.01817,0.0,0.014595,0.0,0.012606,0.020936,0.019117,0.003004,0.0,27,47
12,0.001689,0.001148,0.000581,0.0,0.000952,0.001454,0.000717,0.002395,0.002028,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.0,0.0,28,47
13,0.001066,0.004852,0.001475,0.0,0.00127,0.001628,0.0,0.002684,0.001679,0.0,0.0,0.0,0.000936,0.0,0.0,0.000176,0.0,0.0,29,47
14,0.000835,0.000931,0.0,0.0,0.000915,0.000874,0.0,0.001502,0.001565,0.0,0.0,0.001349,0.000279,0.0,0.0,0.000548,0.0,0.0,30,47
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009522,0.018362,0.000999,0.018531,0.011088,0.015219,0.005476,0.016185,0.01282,31,47
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021652,0.023931,0.018311,0.023372,0.022771,0.024321,0.020383,0.022979,0.016426,32,47
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792,0.001719,0.004819,0.00143,0.002137,0.003506,0.002033,0.002056,0.00402,33,47
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005574,0.005461,0.01049,0.007332,0.003766,0.003835,0.008021,0.006059,0.011531,34,47
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209,0.001984,0.001657,0.002729,0.002505,0.002273,0.001911,0.002643,0.001729,35,47
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647,0.001581,0.001634,0.001485,0.001705,0.001575,0.001415,0.001682,0.001614,36,47
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473,0.001457,0.00165,0.00146,0.001719,0.001695,0.001359,0.001545,0.001592,37,47
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0015,0.002402,0.001468,0.001566,0.001555,0.001508,0.001526,0.002285,38,47
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001633,0.001558,0.001695,0.001437,0.001438,0.001468,0.001374,0.001477,0.001388,39,47
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001884,0.001282,0.00207,0.000494,0.001504,0.000679,0.001188,0.000542,0.000678,16,48
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008675,0.008608,0.006859,0.009835,0.003637,0.007996,0.007021,0.007939,0.007767,17,48
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008172,0.000869,0.000956,0.00418,0.00893,0.000442,0.00998,0.013659,0.011566,18,48
3,0.001116,0.001707,0.00046,0.004204,0.003026,0.003429,0.0046,0.010003,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,48
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014825,0.000408,0.006536,0.016357,0.004775,0.031397,0.011576,0.001137,0.010774,20,48
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014114,0.029118,0.025546,0.032863,0.032944,0.021797,0.009391,0.034911,0.02677,21,48
6,0.0,0.0,0.006602,0.0,0.0,0.001438,0.0,0.0,0.0,0.002152,0.019546,0.0,0.001,0.012183,0.0,0.01984,0.015955,0.002892,22,48
7,0.001614,0.010786,0.005546,0.0,0.003152,0.004253,0.009567,0.021401,0.013054,0.0,0.0,0.0,0.002336,0.0,0.0,0.0,0.0,0.0,23,48
8,0.004795,0.0,0.0,0.0,0.006176,0.0,0.0,0.0,0.0,0.0,0.009342,0.017845,0.000525,0.0,0.002451,0.007802,0.028622,0.01473,24,48
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015572,0.032032,0.028048,0.012394,0.014023,0.012675,0.015253,0.019591,0.020678,25,48
10,0.004435,0.001435,0.003845,0.0,0.005071,0.004981,0.010631,0.005834,0.002338,0.0,0.0,0.0,6.4e-05,0.0,0.0,0.0,0.0,0.0,26,48
11,0.0,9.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000479,0.01817,0.0,0.014595,0.0,0.012606,0.020936,0.019117,0.003004,0.0,27,48
12,0.001689,0.001148,0.000581,0.0,0.000952,0.001454,0.000717,0.002395,0.002028,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.0,0.0,28,48
13,0.001066,0.004852,0.001475,0.0,0.00127,0.001628,0.0,0.002684,0.001679,0.0,0.0,0.0,0.000936,0.0,0.0,0.000176,0.0,0.0,29,48
14,0.000835,0.000931,0.0,0.0,0.000915,0.000874,0.0,0.001502,0.001565,0.0,0.0,0.001349,0.000279,0.0,0.0,0.000548,0.0,0.0,30,48
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009522,0.018362,0.000999,0.018531,0.011088,0.015219,0.005476,0.016185,0.01282,31,48
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021652,0.023931,0.018311,0.023372,0.022771,0.024321,0.020383,0.022979,0.016426,32,48
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792,0.001719,0.004819,0.00143,0.002137,0.003506,0.002033,0.002056,0.00402,33,48
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005574,0.005461,0.01049,0.007332,0.003766,0.003835,0.008021,0.006059,0.011531,34,48
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209,0.001984,0.001657,0.002729,0.002505,0.002273,0.001911,0.002643,0.001729,35,48
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647,0.001581,0.001634,0.001485,0.001705,0.001575,0.001415,0.001682,0.001614,36,48
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473,0.001457,0.00165,0.00146,0.001719,0.001695,0.001359,0.001545,0.001592,37,48
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0015,0.002402,0.001468,0.001566,0.001555,0.001508,0.001526,0.002285,38,48
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001633,0.001558,0.001695,0.001437,0.001438,0.001468,0.001374,0.001477,0.001388,39,48
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001884,0.001282,0.00207,0.000494,0.001504,0.000679,0.001188,0.000542,0.000678,16,49
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008675,0.008608,0.006859,0.009835,0.003637,0.007996,0.007021,0.007939,0.007767,17,49
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008172,0.000869,0.000956,0.00418,0.00893,0.000442,0.00998,0.013659,0.011566,18,49
3,0.001116,0.001707,0.00046,0.004204,0.003026,0.003429,0.0046,0.010003,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,49
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014825,0.000408,0.006536,0.016357,0.004775,0.031397,0.011576,0.001137,0.010774,20,49
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014114,0.029118,0.025546,0.032863,0.032944,0.021797,0.009391,0.034911,0.02677,21,49
6,0.0,0.0,0.006602,0.0,0.0,0.001438,0.0,0.0,0.0,0.002152,0.019546,0.0,0.001,0.012183,0.0,0.01984,0.015955,0.002892,22,49
7,0.001614,0.010786,0.005546,0.0,0.003152,0.004253,0.009567,0.021401,0.013054,0.0,0.0,0.0,0.002336,0.0,0.0,0.0,0.0,0.0,23,49
8,0.004795,0.0,0.0,0.0,0.006176,0.0,0.0,0.0,0.0,0.0,0.009342,0.017845,0.000525,0.0,0.002451,0.007802,0.028622,0.01473,24,49
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015572,0.032032,0.028048,0.012394,0.014023,0.012675,0.015253,0.019591,0.020678,25,49
10,0.004435,0.001435,0.003845,0.0,0.005071,0.004981,0.010631,0.005834,0.002338,0.0,0.0,0.0,6.4e-05,0.0,0.0,0.0,0.0,0.0,26,49
11,0.0,9.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000479,0.01817,0.0,0.014595,0.0,0.012606,0.020936,0.019117,0.003004,0.0,27,49
12,0.001689,0.001148,0.000581,0.0,0.000952,0.001454,0.000717,0.002395,0.002028,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.0,0.0,28,49
13,0.001066,0.004852,0.001475,0.0,0.00127,0.001628,0.0,0.002684,0.001679,0.0,0.0,0.0,0.000936,0.0,0.0,0.000176,0.0,0.0,29,49
14,0.000835,0.000931,0.0,0.0,0.000915,0.000874,0.0,0.001502,0.001565,0.0,0.0,0.001349,0.000279,0.0,0.0,0.000548,0.0,0.0,30,49
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009522,0.018362,0.000999,0.018531,0.011088,0.015219,0.005476,0.016185,0.01282,31,49
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021652,0.023931,0.018311,0.023372,0.022771,0.024321,0.020383,0.022979,0.016426,32,49
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792,0.001719,0.004819,0.00143,0.002137,0.003506,0.002033,0.002056,0.00402,33,49
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005574,0.005461,0.01049,0.007332,0.003766,0.003835,0.008021,0.006059,0.011531,34,49
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209,0.001984,0.001657,0.002729,0.002505,0.002273,0.001911,0.002643,0.001729,35,49
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647,0.001581,0.001634,0.001485,0.001705,0.001575,0.001415,0.001682,0.001614,36,49
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473,0.001457,0.00165,0.00146,0.001719,0.001695,0.001359,0.001545,0.001592,37,49
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0015,0.002402,0.001468,0.001566,0.001555,0.001508,0.001526,0.002285,38,49
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001633,0.001558,0.001695,0.001437,0.001438,0.001468,0.001374,0.001477,0.001388,39,49
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001884,0.001282,0.00207,0.000494,0.001504,0.000679,0.001188,0.000542,0.000678,16,50
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008675,0.008608,0.006859,0.009835,0.003637,0.007996,0.007021,0.007939,0.007767,17,50
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008172,0.000869,0.000956,0.00418,0.00893,0.000442,0.00998,0.013659,0.011566,18,50
3,0.001116,0.001707,0.00046,0.004204,0.003026,0.003429,0.0046,0.010003,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,50
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014825,0.000408,0.006536,0.016357,0.004775,0.031397,0.011576,0.001137,0.010774,20,50
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014114,0.029118,0.025546,0.032863,0.032944,0.021797,0.009391,0.034911,0.02677,21,50
6,0.0,0.0,0.006602,0.0,0.0,0.001438,0.0,0.0,0.0,0.002152,0.019546,0.0,0.001,0.012183,0.0,0.01984,0.015955,0.002892,22,50
7,0.001614,0.010786,0.005546,0.0,0.003152,0.004253,0.009567,0.021401,0.013054,0.0,0.0,0.0,0.002336,0.0,0.0,0.0,0.0,0.0,23,50
8,0.004795,0.0,0.0,0.0,0.006176,0.0,0.0,0.0,0.0,0.0,0.009342,0.017845,0.000525,0.0,0.002451,0.007802,0.028622,0.01473,24,50
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015572,0.032032,0.028048,0.012394,0.014023,0.012675,0.015253,0.019591,0.020678,25,50
10,0.004435,0.001435,0.003845,0.0,0.005071,0.004981,0.010631,0.005834,0.002338,0.0,0.0,0.0,6.4e-05,0.0,0.0,0.0,0.0,0.0,26,50
11,0.0,9.9e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.000479,0.01817,0.0,0.014595,0.0,0.012606,0.020936,0.019117,0.003004,0.0,27,50
12,0.001689,0.001148,0.000581,0.0,0.000952,0.001454,0.000717,0.002395,0.002028,0.0,0.0,0.0,3.6e-05,0.0,0.0,0.0,0.0,0.0,28,50
13,0.001066,0.004852,0.001475,0.0,0.00127,0.001628,0.0,0.002684,0.001679,0.0,0.0,0.0,0.000936,0.0,0.0,0.000176,0.0,0.0,29,50
14,0.000835,0.000931,0.0,0.0,0.000915,0.000874,0.0,0.001502,0.001565,0.0,0.0,0.001349,0.000279,0.0,0.0,0.000548,0.0,0.0,30,50
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009522,0.018362,0.000999,0.018531,0.011088,0.015219,0.005476,0.016185,0.01282,31,50
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021652,0.023931,0.018311,0.023372,0.022771,0.024321,0.020383,0.022979,0.016426,32,50
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001792,0.001719,0.004819,0.00143,0.002137,0.003506,0.002033,0.002056,0.00402,33,50
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005574,0.005461,0.01049,0.007332,0.003766,0.003835,0.008021,0.006059,0.011531,34,50
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00209,0.001984,0.001657,0.002729,0.002505,0.002273,0.001911,0.002643,0.001729,35,50
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001647,0.001581,0.001634,0.001485,0.001705,0.001575,0.001415,0.001682,0.001614,36,50
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001473,0.001457,0.00165,0.00146,0.001719,0.001695,0.001359,0.001545,0.001592,37,50
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016,0.0015,0.002402,0.001468,0.001566,0.001555,0.001508,0.001526,0.002285,38,50
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001633,0.001558,0.001695,0.001437,0.001438,0.001468,0.001374,0.001477,0.001388,39,50
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001884,0.001282,0.00207,0.000494,0.001504,0.000679,0.001188,0.000542,0.000678,16,51
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008675,0.008608,0.006859,0.009835,0.003637,0.007996,0.007021,0.007939,0.007767,17,51
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008172,0.000869,0.000956,0.00418,0.00893,0.000442,0.00998,0.013659,0.011566,18,51
3,0.001116,0.001707,0.00046,0.004204,0.003026,0.003429,0.0046,0.010003,0.00395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,51
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014825,0.000408,0.006536,0.016357,0.004775,0.031397,0.011576,0.001137,0.010774,20,51
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014114,0.029118,0.025546,0.032863,0.032944,0.021797,0.009391,0.034911,0.02677,21,51
